Mission ID,FBOId,DepartureAirport,DepartureICAO,DestinationAirport,DestinationICAO,Distance,HumanOnly,Pay,Expiration Date,Is Last Minute,Descript,PaxClass0,PaxClass1,PaxClass2,Cargo
000db3b8-8a0c-428a-babd-888a76a19b2b,35b9075d-f91b-4a01-8136-4db7ef82ff4a,Gold Coast,YBCG,Hobart,YMHB,927.0,False,599455.5,2023-08-07T23:27:32.5,False,#1n,159.0,0.0,0.0,0.0
000db3b8-8a0c-428a-babd-888a76a19b2b,35b9075d-f91b-4a01-8136-4db7ef82ff4a,Hobart,YMHB,Gold Coast,YBCG,927.0,False,599455.5,2023-08-07T23:27:32.5,False,#1,159.0,0.0,0.0,0.0
00155d60-bdb5-4172-9a1d-6e3725c07ae7,361993cc-8a53-405e-96cd-ed40381badff,Christchurch Intl,NZCH,Invercargill,NZNV,251.0,True,285652.5,2023-08-04T17:51:51.687,False,#1n,170.0,0.0,0.0,0.0
00155d60-bdb5-4172-9a1d-6e3725c07ae7,361993cc-8a53-405e-96cd-ed40381badff,Invercargill,NZNV,Christchurch Intl,NZCH,251.0,True,285652.5,2023-08-04T17:51:51.687,False,#1,170.0,0.0,0.0,0.0
00155d60-bdb5-4172-9a1d-6e3725c07ae7,361993cc-8a53-405e-96cd-ed40381badff,Invercargill,NZNV,Queenstown,NZQN,86.0,True,285652.5,2023-08-04T17:51:51.687,False,#2,170.0,0.0,0.0,0.0
00155d60-bdb5-4172-9a1d-6e3725c07ae7,361993cc-8a53-405e-96cd-ed40381badff,Queenstown,NZQN,Invercargill,NZNV,86.0,True,285652.5,2023-08-04T17:51:51.687,False,#2n,170.0,0.0,0.0,0.0
0028f181-01af-4ce8-a157-cfc97e0e9144,8fcee27a-1206-475e-ae2c-928bf81915a1,Changi,WSSS,Kingsford Smith Intl,YSSY,3396.0,True,11438337.0,2023-08-03T03:09:05.98,True,#1,203.0,49.0,24.0,21022.19198002
0028f181-01af-4ce8-a157-cfc97e0e9144,8fcee27a-1206-475e-ae2c-928bf81915a1,Kingsford Smith Intl,YSSY,Changi,WSSS,3396.0,True,11438337.0,2023-08-03T03:09:05.98,True,#1n,203.0,49.0,24.0,19626.01060619341
00dd2080-c006-4885-85a1-64a55ce9e481,9da71413-54ca-42d9-85b2-0e292b6ad89e,Brisbane Intl,YBBN,Queenstown,NZQN,1296.0,True,1056982.5,2023-08-05T04:30:54.563,False,#1n,178.0,0.0,0.0,0.0
00dd2080-c006-4885-85a1-64a55ce9e481,9da71413-54ca-42d9-85b2-0e292b6ad89e,Queenstown,NZQN,Brisbane Intl,YBBN,1296.0,True,1056982.5,2023-08-05T04:30:54.563,False,#1,178.0,0.0,0.0,0.0
012b6c22-af33-438e-b399-67a8e14f1f1e,e5f37a26-12cf-44e9-ac8e-8f1cbf870465,Adelaide Intl,YPAD,Rockhampton,YBRK,933.0,False,757131.0,2023-08-03T10:38:14.107,True,#1n,182.0,0.0,0.0,0.0
012b6c22-af33-438e-b399-67a8e14f1f1e,e5f37a26-12cf-44e9-ac8e-8f1cbf870465,Rockhampton,YBRK,Adelaide Intl,YPAD,933.0,False,757131.0,2023-08-03T10:38:14.107,True,#1,182.0,0.0,0.0,0.0
014c341a-e411-4e69-812b-5eea4f01f2ef,9e07c072-87f6-450c-a357-efd9cf9fcc64,Adelaide Intl,YPAD,Hamilton I.,YBHM,1034.0,False,654948.0,2023-08-05T14:10:05.34,False,#1n,164.0,0.0,0.0,0.0
014c341a-e411-4e69-812b-5eea4f01f2ef,9e07c072-87f6-450c-a357-efd9cf9fcc64,Hamilton I.,YBHM,Adelaide Intl,YPAD,1034.0,False,654948.0,2023-08-05T14:10:05.34,False,#1,164.0,0.0,0.0,0.0
018eff9f-b68e-4145-993e-1618547bb02d,8fcee27a-1206-475e-ae2c-928bf81915a1,Changi,WSSS,Hakodate,RJCH,3134.0,False,6965311.5,2023-08-06T21:32:24.29,False,#1,194.0,47.0,23.0,23323.7196654
018eff9f-b68e-4145-993e-1618547bb02d,8fcee27a-1206-475e-ae2c-928bf81915a1,Hakodate,RJCH,Changi,WSSS,3134.0,False,6965311.5,2023-08-06T21:32:24.29,False,#1n,194.0,47.0,23.0,22745.15385770285
01f8d27e-cb20-4cb9-bdc8-3c9db828fb12,9da71413-54ca-42d9-85b2-0e292b6ad89e,Invercargill,NZNV,Queenstown,NZQN,86.0,True,71086.5,2023-08-04T12:36:56.243,True,#1n,176.0,0.0,0.0,0.0
01f8d27e-cb20-4cb9-bdc8-3c9db828fb12,9da71413-54ca-42d9-85b2-0e292b6ad89e,Queenstown,NZQN,Invercargill,NZNV,86.0,True,71086.5,2023-08-04T12:36:56.243,True,#1,176.0,0.0,0.0,0.0
01fffe16-96fc-46c7-baf1-0bcded094dab,d274f18e-b24f-4cb7-b5af-dd250e4bcaf2,Christchurch Intl,NZCH,Martins Bay Aerodrome,NZMJ,202.0,False,9744.0,2023-08-04T22:29:00.99,False,#1n,0.0,0.0,4.0,0.0
01fffe16-96fc-46c7-baf1-0bcded094dab,d274f18e-b24f-4cb7-b5af-dd250e4bcaf2,Martins Bay Aerodrome,NZMJ,Christchurch Intl,NZCH,202.0,False,9744.0,2023-08-04T22:29:00.99,False,#1,0.0,0.0,4.0,0.0
02737101-ef16-478b-ae0e-a6a5a7eef0a0,80d806b7-aa8e-4fad-87a1-cbdbc639d5b1,Bali Intl,WADD,Kai Tak Intl Airport,VHHX,1865.0,True,5247805.5,2023-08-04T18:13:59.983,False,#1,200.0,49.0,24.0,28113.6550926
02737101-ef16-478b-ae0e-a6a5a7eef0a0,80d806b7-aa8e-4fad-87a1-cbdbc639d5b1,Kai Tak Intl Airport,VHHX,Bali Intl,WADD,1865.0,True,5247805.5,2023-08-04T18:13:59.983,False,#1n,200.0,49.0,24.0,26448.88383687032
02b50352-a0f3-4f74-acc8-85a5b8f3e242,c4de1a27-26d9-4f8e-acbe-88dbaa8bffb1,Brisbane Intl,YBBN,Kingsford Smith Intl,YSSY,406.0,True,1456423.5,2023-08-05T05:39:27.183,False,#2,184.0,0.0,0.0,0.0
02b50352-a0f3-4f74-acc8-85a5b8f3e242,c4de1a27-26d9-4f8e-acbe-88dbaa8bffb1,Brisbane Intl,YBBN,Queenstown,NZQN,1296.0,True,1456423.5,2023-08-05T05:39:27.183,False,#1,164.0,0.0,0.0,0.0
02b50352-a0f3-4f74-acc8-85a5b8f3e242,c4de1a27-26d9-4f8e-acbe-88dbaa8bffb1,Kingsford Smith Intl,YSSY,Brisbane Intl,YBBN,406.0,True,1456423.5,2023-08-05T05:39:27.183,False,#2n,184.0,0.0,0.0,0.0
02b50352-a0f3-4f74-acc8-85a5b8f3e242,c4de1a27-26d9-4f8e-acbe-88dbaa8bffb1,Queenstown,NZQN,Brisbane Intl,YBBN,1296.0,True,1456423.5,2023-08-05T05:39:27.183,False,#1n,164.0,0.0,0.0,0.0
02e14127-ec90-4402-8ef9-eed308fe411a,0aebf5aa-19d6-441b-9ad8-a987709e276d,Christchurch Intl,NZCH,Melbourne Intl,YMML,1303.0,False,913636.5,2023-08-05T07:48:39.287,False,#1,176.0,0.0,0.0,0.0
02e14127-ec90-4402-8ef9-eed308fe411a,0aebf5aa-19d6-441b-9ad8-a987709e276d,Melbourne Intl,YMML,Christchurch Intl,NZCH,1303.0,False,913636.5,2023-08-05T07:48:39.287,False,#1n,176.0,0.0,0.0,0.0
